bill no,product name,no of units,full amount,date
61180,VEG SWEET POTATO 1KG,2,495.73,2025-03-04
61181,AQUAFINA BOTTLED WATER 5L,3,738.96,2025-03-04
61182,HEINZ TOMATO KETCHUP 300G,3,2071.3,2025-03-04
61183,VEG CUCUMBER 1KG,2,298.43,2025-03-04
61184,BROWN SUGAR 1KG,2,896.86,2025-03-04
61185,PRIMA INSTANT NOODLES CHICKEN,2,237.66,2025-03-04
61186,VEG TOMATOES 1KG,2,814.22,2025-03-04
61187,COCONUT,1,128.1,2025-03-04
61188,PRIMA PLAIN FLOUR 1KG,3,1143.91,2025-03-04
61189,ROZA PASTA SPAGHETTI 500G,1,542.39,2025-03-04
61190,NEWS PAPER ARUNA,3,208.29,2025-03-05
61191,VEG GINGER 1KG,3,4500.24,2025-03-05
61192,VEG SWEET POTATO 1KG,2,491.37,2025-03-05
61193,VEG LIME 1KG,1,501.25,2025-03-05
61194,AIRWICK AIR FRESHENER 250ML,2,1206.0,2025-03-05
61195,KIST PEANUT BUTTER 340G,1,785.46,2025-03-05
61196,COCA-COLA 1.5L,4,1201.68,2025-03-05
61197,BAKEWELL WHITE BREAD 450G,1,176.95,2025-03-05
61198,EDINBOROUGH CORDIAL 750ML,3,1369.87,2025-03-05
61199,VEG ASH PLANTAINS 1KG,1,149.58,2025-03-05
61200,KELLOGGS CORN FLAKES POUCH 250G,3,2119.1,2025-03-05
61201,KITHUL TREACLE BOTTLE 750ML,2,1782.24,2025-03-05
61202,VEG CUCUMBER 1KG,3,458.0,2025-03-05
61203,VEG GARLIC 1KG,2,2441.33,2025-03-05
61204,ENERGIZER BATTERY AA 2S,4,1201.94,2025-03-05
61205,ENERGIZER BATTERY AA 2S,1,305.53,2025-03-05
61206,JOHNSONS BABY POWDER 200G,1,588.38,2025-03-05
61207,RED LENTILS (MYSOOR DHAL) 1KG,2,984.7,2025-03-05
61208,COCONUT MILK POWDER 400G,1,592.65,2025-03-05
61209,COCONUT,4,514.19,2025-03-05
61210,VEG ASH PLANTAINS 1KG,1,147.01,2025-03-05
61211,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,2,1078.82,2025-03-05
61212,CLOGARD TOOTHBRUSH SMART PROMO,2,236.43,2025-03-05
61213,RED LENTILS (MYSOOR DHAL) 1KG,1,505.37,2025-03-05
61214,COCONUT OIL 750ML,2,1725.73,2025-03-05
61215,JOHNSONS BABY POWDER 200G,1,591.65,2025-03-05
61216,VEG CARROT 1KG,2,642.72,2025-03-05
61217,MAGGI COCONUT MILK POWDER 1KG,1,1485.09,2025-03-05
61218,KELLOGGS HEART TO HEART OATS 200G,5,3207.41,2025-03-05
61219,SAMAPOSHA 200G,5,907.81,2025-03-05
61220,FT AVOCADO 1KG,1,602.0,2025-03-05
61221,COCONUT OIL 750ML,4,3368.65,2025-03-05
61222,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,1,549.64,2025-03-05
61223,SIRILAK CHILLI POWDER 100G,3,841.84,2025-03-05
61224,MUNCHEE CHOCOLATE MARIE 90G,1,88.52,2025-03-05
61225,FT AVOCADO 1KG,2,1217.44,2025-03-05
61226,VEG LIME 1KG,3,1499.79,2025-03-05
61227,VIM DISHWASH LIQUID 500ML,3,838.89,2025-03-05
61228,UBC SAVOURY MURUKKU 100G,3,387.65,2025-03-05
61229,BAYGON MOSQUITO COILS 10S,2,302.63,2025-03-05
61230,SIRILAK FENUGREEK 100G,5,746.32,2025-03-05
61231,MAGGI COCONUT MILK POWDER 1KG,2,3059.19,2025-03-05
61232,COCONUT,5,643.91,2025-03-05
61233,MD MANGO JAM 500G,3,1933.78,2025-03-05
61234,JOHNSONS BABY POWDER 200G,1,608.68,2025-03-05
61235,RED LENTILS (MYSOOR DHAL) 1KG,1,509.17,2025-03-05
61236,WHITE SUGAR 1KG,3,1063.49,2025-03-05
61237,MEADOWLEA FAT SPREAD 500G,5,5535.05,2025-03-05
61238,NIPPON TUNA IN OIL 185G,1,638.67,2025-03-05
61239,CURRY POWDER 100G,4,1014.91,2025-03-05
61240,BROWN SUGAR 1KG,2,899.14,2025-03-05
61241,COCONUT MILK POWDER 400G,5,3008.96,2025-03-05
61242,VEG PUMPKIN 1KG,3,363.71,2025-03-05
61243,VEG PUMPKIN 1KG,3,354.13,2025-03-05
61244,CLOGARD TOOTHBRUSH SMART PROMO,4,470.67,2025-03-05
61245,MD MANGO JAM 500G,2,1305.58,2025-03-05
61246,VEG CAPSICUM 1KG,2,1012.97,2025-03-05
61247,PRAN POTATO CHIPS 75G,4,726.25,2025-03-05
61248,LITTLE LION CHOCOLATE CAKE SLICE,5,747.25,2025-03-05
61249,ROZA PASTA SPAGHETTI 500G,4,2189.99,2025-03-05
61250,VEG SWEET POTATO 1KG,3,763.37,2025-03-05
61251,PRAN POTATO CHIPS 75G,4,734.13,2025-03-05
61252,KEELLS CHICKEN SAUSAGES 500G,2,1903.74,2025-03-05
61253,COCONUT OIL 750ML,5,4246.14,2025-03-05
61254,MD MANGO JAM 500G,4,2569.56,2025-03-05
61255,FLORA TOILET PAPER ROLL 2PLY,3,304.1,2025-03-05
61256,VEG BITTER GOURD 1KG,2,444.82,2025-03-05
61257,CLOGARD TOOTHBRUSH SMART PROMO,2,238.69,2025-03-05
61258,CLEAR SHAMPOO 180ML,2,1005.37,2025-03-05
61259,COCONUT,3,382.5,2025-03-05
61260,EDINBOROUGH CORDIAL 750ML,2,895.77,2025-03-05
61261,VEG ASH PLANTAINS 1KG,3,446.23,2025-03-05
61262,VEG CUCUMBER 1KG,1,148.72,2025-03-05
61263,FRESH MILK 1L,2,793.67,2025-03-05
61264,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,4,985.78,2025-03-05
61265,MEADOWLEA FAT SPREAD 500G,1,1098.01,2025-03-05
61266,PAMPERS DIAPERS L 44S,4,17903.47,2025-03-05
61267,WHITE SUGAR 1KG,2,707.96,2025-03-05
61268,CLOGARD TOOTHBRUSH SMART PROMO,2,236.81,2025-03-05
61269,KITHUL TREACLE BOTTLE 750ML,3,2729.78,2025-03-05
61270,PAMPERS DIAPERS L 44S,3,13249.88,2025-03-05
61271,MUNCHEE CHOCOLATE WAFERS 85G,5,499.28,2025-03-05
61272,KITHUL TREACLE BOTTLE 750ML,5,4463.82,2025-03-05
61273,FT AVOCADO 1KG,3,1821.26,2025-03-05
61274,MAGGI COCONUT MILK POWDER 1KG,2,2946.3,2025-03-05
61275,NEWS PAPER ARUNA,3,206.96,2025-03-05
61276,SIRILAK POP CORN,2,299.66,2025-03-05
61277,DILMAH PREMIUM LEAF TEA 200G,4,3142.02,2025-03-05
61278,VEG CAPSICUM 1KG,1,506.22,2025-03-05
61279,ENERGIZER BATTERY AA 2S,5,1499.99,2025-03-05
61280,VEG CABBAGE 1KG,1,179.93,2025-03-05
61281,KOTMALE CHEESE SLICES 10S,2,1495.22,2025-03-05
61282,VEG BIG ONIONS 1KG,3,1031.48,2025-03-05
61283,MAGGI COCONUT MILK POWDER 1KG,2,2952.96,2025-03-05
61284,VIM DISHWASH LIQUID 500ML,5,1374.02,2025-03-05
61285,CURRY POWDER 100G,5,1273.64,2025-03-05
61286,COCONUT OIL 750ML,2,1720.24,2025-03-05
61287,MUNCHEE CHOCOLATE MARIE 90G,5,450.08,2025-03-05
61288,VEG POTATOES 1KG,2,770.34,2025-03-05
61289,VEG PUMPKIN 1KG,2,242.07,2025-03-05
61290,COCONUT MILK POWDER 400G,3,1766.94,2025-03-05
61291,VEG TOMATOES 1KG,1,401.79,2025-03-05
61292,CLOGARD TOOTHBRUSH SMART PROMO,1,120.52,2025-03-05
61293,KELLOGGS HEART TO HEART OATS 200G,1,643.59,2025-03-05
61294,KELLOGGS HEART TO HEART OATS 200G,5,3213.99,2025-03-05
61295,ANCHOR BUTTER 227G,2,2425.18,2025-03-05
61296,MAGGI COCONUT MILK POWDER 1KG,2,3022.8,2025-03-05
61297,DETTOL ANTISEPTIC LIQUID 500ML,5,3940.76,2025-03-05
61298,COCA-COLA 1.5L,5,1499.13,2025-03-05
61299,RED LENTILS (MYSOOR DHAL) 1KG,1,507.56,2025-03-05
61300,CHICKPEAS 1KG,3,1802.93,2025-03-05
61301,FLORA TOILET PAPER ROLL 2PLY,2,198.87,2025-03-05
61302,NESCAFE CLASSIC 100G JAR,1,1279.24,2025-03-05
61303,ANCHOR BUTTER 227G,3,3558.98,2025-03-05
61304,VEG CAPSICUM 1KG,3,1529.27,2025-03-05
61305,UBC SAVOURY MURUKKU 100G,1,127.55,2025-03-05
61306,NIPPON TUNA IN OIL 185G,5,3239.13,2025-03-05
61307,VEG CARROT 1KG,3,971.34,2025-03-05
61308,HARISCHANDRA COFFEE 200G,4,3596.77,2025-03-05
61309,VEG PUMPKIN 1KG,3,357.5,2025-03-05
61310,VEG CARROT 1KG,1,323.09,2025-03-05
61311,SIRILAK CHILLI POWDER 100G,2,563.82,2025-03-05
61312,PRIMA PLAIN FLOUR 1KG,1,373.39,2025-03-05
61313,PRIMA PLAIN FLOUR 1KG,3,1148.04,2025-03-05
61314,AIRWICK AIR FRESHENER 250ML,5,2955.36,2025-03-05
61315,SALT 1KG,1,99.96,2025-03-05
61316,JOHNSONS BABY POWDER 200G,2,1190.65,2025-03-05
61317,CINNAMON STICKS 50G,4,1625.54,2025-03-05
61318,HIGHLAND SET YOGHURT 90G,4,314.68,2025-03-05
61319,ROYAL CASHEW NUTS 100G,3,2422.53,2025-03-05
61320,FRESH MILK 1L,3,1182.98,2025-03-05
61321,HEINZ TOMATO KETCHUP 300G,3,2106.19,2025-03-05
61322,BAYGON MOSQUITO COILS 10S,2,301.68,2025-03-05
61323,VEG CUCUMBER 1KG,1,150.48,2025-03-05
61324,BROWN SUGAR 1KG,3,1356.23,2025-03-05
61325,VEG CAPSICUM 1KG,3,1482.0,2025-03-05
61326,AIRWICK AIR FRESHENER 250ML,5,3017.31,2025-03-05
61327,VEG GARLIC 1KG,3,3585.98,2025-03-05
61328,NIPPON TUNA IN OIL 185G,2,1297.32,2025-03-05
61329,NEWS PAPER ARUNA,5,355.62,2025-03-05
61330,COCONUT OIL 750ML,4,3452.15,2025-03-05
61331,BROWN SUGAR 1KG,1,446.21,2025-03-05
61332,KOTMALE CHEESE SLICES 10S,5,3779.17,2025-03-05
61333,CLOGARD TOOTHBRUSH SMART PROMO,3,366.62,2025-03-05
61334,SIRILAK POP CORN,3,442.55,2025-03-06
61335,KITHUL TREACLE BOTTLE 750ML,2,1823.89,2025-03-06
61336,COCONUT MILK POWDER 400G,1,608.9,2025-03-06
61337,EDINBOROUGH CORDIAL 750ML,2,917.03,2025-03-06
61338,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,3,1629.42,2025-03-06
61339,HARISCHANDRA COFFEE 200G,2,1782.19,2025-03-06
61340,TURMERIC POWDER 100G,5,1783.95,2025-03-06
61341,KIST PEANUT BUTTER 340G,1,815.72,2025-03-06
61342,VEG LADIES FINGERS 1KG,1,203.78,2025-03-06
61343,MALIBAN GOLD MARIE 200G,3,611.47,2025-03-06
61344,TURMERIC POWDER 100G,5,1765.44,2025-03-06
61345,HEINZ TOMATO KETCHUP 300G,4,2789.59,2025-03-06
61346,SUNQUICK FRUIT JUICE 840ML,5,3711.43,2025-03-06
61347,CINNAMON STICKS 50G,1,406.51,2025-03-06
61348,MILO POWDER 400G,1,998.37,2025-03-06
61349,KELLOGGS HEART TO HEART OATS 200G,3,1967.78,2025-03-06
61350,AIRWICK AIR FRESHENER 250ML,4,2368.1,2025-03-06
61351,RICH LIFE SET KIRI DAIRY DESSERT 450G,4,1180.59,2025-03-06
61352,MAGGI COCONUT MILK POWDER 1KG,1,1490.01,2025-03-06
61353,ROYAL CASHEW NUTS 100G,4,3146.64,2025-03-06
61354,LITTLE LION CHOCOLATE CAKE SLICE,3,455.89,2025-03-06
61355,AQUAFINA BOTTLED WATER 5L,3,746.37,2025-03-06
61356,COCONUT,1,132.32,2025-03-06
61357,VEG LEEKS 1KG,2,568.29,2025-03-06
61358,SUNQUICK FRUIT JUICE 840ML,4,2962.31,2025-03-06
61359,DETTOL ANTISEPTIC LIQUID 500ML,1,791.92,2025-03-06
61360,LITTLE LION CHOCOLATE CAKE SLICE,1,151.51,2025-03-06
61361,FRT PINEAPPLE,5,2019.06,2025-03-06
61362,FRESH MILK 1L,1,399.35,2025-03-06
61363,UBC SAVOURY MURUKKU 100G,4,525.39,2025-03-06
61364,CLOGARD TOOTHBRUSH SMART PROMO,3,364.12,2025-03-06
61365,LIFEBUOY SOAP TOTAL 10 100G,1,89.6,2025-03-06
61366,JOHNSONS BABY POWDER 200G,4,2367.48,2025-03-06
61367,VEG CABBAGE 1KG,1,180.94,2025-03-06
61368,COCONUT MILK POWDER 400G,1,606.45,2025-03-06
61369,VEG GREEN BEANS 1KG,2,608.67,2025-03-06
61370,LITTLE LION CHOCOLATE CAKE SLICE,5,758.79,2025-03-06
61371,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,3,756.47,2025-03-06
61372,VEG CAPSICUM 1KG,1,496.94,2025-03-06
61373,PRIMA PLAIN FLOUR 1KG,1,384.48,2025-03-06
61374,NESCAFE CLASSIC 100G JAR,4,5228.37,2025-03-06
61375,VEG BITTER GOURD 1KG,1,215.8,2025-03-06
61376,FRESH WHOLE CHICKEN SL 1KG,1,1409.89,2025-03-06
61377,KELLOGGS CORN FLAKES POUCH 250G,3,2137.1,2025-03-06
61378,MUNCHEE CHOCOLATE WAFERS 85G,3,303.31,2025-03-06
61379,LIFEBUOY SOAP TOTAL 10 100G,2,178.66,2025-03-06
61380,VEG BIG ONIONS 1KG,3,1062.65,2025-03-06
61381,WHITE SUGAR 1KG,2,699.22,2025-03-06
61382,FRT PAPAYA 1KG,3,588.03,2025-03-06
61383,CHICKPEAS 1KG,2,1195.83,2025-03-06
61384,HEINZ TOMATO KETCHUP 300G,4,2792.4,2025-03-06
61385,VEG SWEET POTATO 1KG,1,249.58,2025-03-06
61386,VEG TOMATOES 1KG,1,397.54,2025-03-06
61387,LIFEBUOY SOAP TOTAL 10 100G,4,361.52,2025-03-06
61388,EDINBOROUGH CORDIAL 750ML,5,2275.34,2025-03-06
61389,COCA-COLA 1.5L,3,901.52,2025-03-06
61390,COCA-COLA 1.5L,5,1528.41,2025-03-06
61391,COCONUT,3,391.25,2025-03-06
61392,KIST PEANUT BUTTER 340G,2,1598.7,2025-03-06
61393,VEG LIME 1KG,3,1502.1,2025-03-06
61394,TURMERIC POWDER 100G,5,1747.49,2025-03-06
61395,LAKMO EGG PACK L 10,1,551.64,2025-03-06
61396,CLEAR SHAMPOO 180ML,4,2019.01,2025-03-06
61397,MALIBAN GOLD MARIE 200G,1,200.68,2025-03-06
61398,VEG CAPSICUM 1KG,1,493.21,2025-03-06
61399,CINNAMON STICKS 50G,2,806.11,2025-03-06
61400,HARISCHANDRA COFFEE 200G,5,4475.5,2025-03-06
61401,LIFEBUOY SOAP TOTAL 10 100G,1,90.89,2025-03-06
61402,FLORA TOILET PAPER ROLL 2PLY,4,403.98,2025-03-06
61403,KEELLS CHICKEN SAUSAGES 500G,4,3756.38,2025-03-06
61404,FRT PAPAYA 1KG,2,406.84,2025-03-06
61405,FRT PAPAYA 1KG,2,401.59,2025-03-06
61406,GILLETTE RAZOR,1,249.89,2025-03-06
61407,LAKMEE SOY CUTTLEFISH 60G,5,904.39,2025-03-06
61408,DETTOL ANTISEPTIC LIQUID 500ML,4,3249.9,2025-03-06
61409,ENERGIZER BATTERY AA 2S,1,300.9,2025-03-06
61410,VEG CAPSICUM 1KG,3,1470.4,2025-03-06
61411,MALIBAN GOLD MARIE 200G,1,199.7,2025-03-06
61412,MALIBAN GOLD MARIE 200G,3,605.67,2025-03-06
61413,LIFEBUOY SOAP TOTAL 10 100G,3,270.78,2025-03-06
61414,VEG GREEN BEANS 1KG,2,590.57,2025-03-06
61415,CURRY POWDER 100G,1,245.37,2025-03-06
61416,MEADOWLEA FAT SPREAD 500G,4,4460.45,2025-03-06
61417,LAKMO EGG PACK L 10,5,2777.42,2025-03-06
61418,SALT 1KG,3,296.2,2025-03-06
61419,CURRY POWDER 100G,3,735.87,2025-03-06
61420,RED LENTILS (MYSOOR DHAL) 1KG,3,1506.74,2025-03-06
61421,CLEAR SHAMPOO 180ML,3,1508.51,2025-03-06
61422,MUNCHEE SUPER CREAM CRACKER 120G,4,445.05,2025-03-06
61423,MAGGI COCONUT MILK POWDER 1KG,2,3004.36,2025-03-06
61424,NESCAFE CLASSIC 100G JAR,2,2617.96,2025-03-06
61425,ROZA PASTA SPAGHETTI 500G,2,1120.9,2025-03-06
61426,ROYAL CASHEW NUTS 100G,4,3169.92,2025-03-06
61427,VEG GARLIC 1KG,2,2356.09,2025-03-06
61428,LION SODA 1L,1,152.87,2025-03-06
61429,SIRILAK FENUGREEK 100G,1,148.17,2025-03-06
61430,VEG CAPSICUM 1KG,2,1005.66,2025-03-06
61431,VEG SWEET POTATO 1KG,2,497.51,2025-03-06
61432,RED LENTILS (MYSOOR DHAL) 1KG,1,491.78,2025-03-06
61433,SIRILAK CHILLI POWDER 100G,2,555.51,2025-03-06
61434,VEG PUMPKIN 1KG,1,120.61,2025-03-06
61435,VEG GARLIC 1KG,2,2358.4,2025-03-06
61436,VEG BITTER GOURD 1KG,3,665.0,2025-03-06
61437,MUNCHEE CHOCOLATE WAFERS 85G,2,203.76,2025-03-06
61438,PRIMA INSTANT NOODLES CHICKEN,3,366.59,2025-03-06
61439,KELLOGGS HEART TO HEART OATS 200G,2,1319.01,2025-03-06
61440,RED LENTILS (MYSOOR DHAL) 1KG,1,494.67,2025-03-06
61441,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,5,2695.29,2025-03-06
61442,KITHUL TREACLE BOTTLE 750ML,4,3589.44,2025-03-06
61443,VEG CAPSICUM 1KG,1,502.47,2025-03-06
61444,KITHUL TREACLE BOTTLE 750ML,4,3649.82,2025-03-06
61445,FRESH MILK 1L,1,399.47,2025-03-06
61446,VEG LIME 1KG,1,496.31,2025-03-06
61447,MD MANGO JAM 500G,5,3223.45,2025-03-06
61448,VEG BITTER GOURD 1KG,1,216.02,2025-03-06
61449,MALIBAN GOLD MARIE 200G,4,791.9,2025-03-06
61450,VEG CARROT 1KG,1,324.32,2025-03-06
61451,VEG CUCUMBER 1KG,2,302.89,2025-03-06
61452,KOTMALE CHEESE SLICES 10S,1,736.92,2025-03-06
61453,MUNCHEE SUPER CREAM CRACKER 120G,4,440.76,2025-03-06
61454,KITHUL TREACLE BOTTLE 750ML,5,4541.74,2025-03-06
61455,VEG BIG ONIONS 1KG,1,344.66,2025-03-06
61456,RICH LIFE SET KIRI DAIRY DESSERT 450G,2,593.61,2025-03-06
61457,HEINZ TOMATO KETCHUP 300G,2,1423.88,2025-03-06
61458,HARISCHANDRA COFFEE 200G,1,897.36,2025-03-06
61459,ROYAL CASHEW NUTS 100G,5,4076.18,2025-03-06
61460,CLEAR SHAMPOO 180ML,2,1012.37,2025-03-06
61461,PRIMA INSTANT NOODLES CHICKEN,1,120.93,2025-03-06
61462,VEG CABBAGE 1KG,2,354.07,2025-03-06
61463,WHITE SUGAR 1KG,1,350.19,2025-03-06
61464,ENERGIZER BATTERY AA 2S,1,303.27,2025-03-06
61465,VEG CARROT 1KG,3,946.32,2025-03-06
61466,PRIMA PLAIN FLOUR 1KG,3,1153.99,2025-03-06
61467,EDINBOROUGH CORDIAL 750ML,2,903.8,2025-03-06
61468,RIN DETERGENT POWDER 1KG,1,481.78,2025-03-06
61469,RED LENTILS (MYSOOR DHAL) 1KG,1,492.09,2025-03-06
61470,MAGGI COCONUT MILK POWDER 1KG,2,2961.03,2025-03-06
61471,PRAN POTATO CHIPS 75G,3,536.94,2025-03-06
61472,VEG BITTER GOURD 1KG,2,439.39,2025-03-06
61473,HIGHLAND SET YOGHURT 90G,5,401.81,2025-03-06
61474,SIRILAK ROASTED PEANUTS 75G,1,101.76,2025-03-06
61475,NIPPON TUNA IN OIL 185G,2,1290.65,2025-03-06
61476,CLEAR SHAMPOO 180ML,4,2011.35,2025-03-06
61477,COCONUT MILK POWDER 400G,3,1829.16,2025-03-07
61478,BROWN SUGAR 1KG,2,890.11,2025-03-07
61479,PRIMA PLAIN FLOUR 1KG,1,372.56,2025-03-07
61480,LITTLE LION CHOCOLATE CAKE SLICE,4,604.49,2025-03-07
61481,SIRILAK CHILLI POWDER 100G,1,282.75,2025-03-07
61482,COCONUT OIL 750ML,1,853.63,2025-03-07
61483,KITHUL TREACLE BOTTLE 750ML,4,3583.63,2025-03-07
61484,SIRILAK CHILLI POWDER 100G,1,280.84,2025-03-07
61485,PAMPERS DIAPERS L 44S,3,13507.57,2025-03-07
61486,CINNAMON STICKS 50G,2,809.05,2025-03-07
61487,VIM DISHWASH LIQUID 500ML,3,841.6,2025-03-07
61488,COCONUT OIL 750ML,4,3429.67,2025-03-07
61489,CLEAR SHAMPOO 180ML,2,983.13,2025-03-07
61490,KIST PEANUT BUTTER 340G,1,815.94,2025-03-07
61491,FT AVOCADO 1KG,1,600.41,2025-03-07
61492,FRT BANANA (AMBUL) 1KG,2,507.84,2025-03-07
61493,BAKEWELL WHITE BREAD 450G,3,542.58,2025-03-07
61494,HIGHLAND SET YOGHURT 90G,2,161.29,2025-03-07
61495,SAMAPOSHA 200G,5,909.41,2025-03-07
61496,HEINZ TOMATO KETCHUP 300G,5,3451.52,2025-03-07
61497,ANCHOR BUTTER 227G,3,3589.91,2025-03-07
61498,VEG CAPSICUM 1KG,1,499.56,2025-03-07
61499,KITHUL TREACLE BOTTLE 750ML,3,2676.86,2025-03-07
61500,NEWS PAPER ARUNA,2,137.95,2025-03-07
61501,PRIMA PLAIN FLOUR 1KG,1,381.08,2025-03-07
61502,AIRWICK AIR FRESHENER 250ML,4,2389.37,2025-03-07
61503,PRAN POTATO CHIPS 75G,3,538.96,2025-03-07
61504,MILO POWDER 400G,2,2016.65,2025-03-07
61505,VEG CAPSICUM 1KG,2,1004.61,2025-03-07
61506,LAKMO EGG PACK L 10,2,1089.0,2025-03-07
61507,VEG POTATOES 1KG,3,1136.98,2025-03-07
61508,RIN DETERGENT POWDER 1KG,2,942.6,2025-03-07
61509,LAKMEE SOY CUTTLEFISH 60G,4,722.81,2025-03-07
61510,LAKMO EGG PACK L 10,5,2793.23,2025-03-07
61511,RICH LIFE SET KIRI DAIRY DESSERT 450G,5,1508.36,2025-03-07
61512,EDINBOROUGH CORDIAL 750ML,3,1362.38,2025-03-07
61513,VEG LIME 1KG,3,1522.17,2025-03-07
61514,VEG BIG ONIONS 1KG,3,1062.96,2025-03-07
61515,MAGGI COCONUT MILK POWDER 1KG,3,4442.21,2025-03-07
61516,AIRWICK AIR FRESHENER 250ML,5,2969.14,2025-03-07
61517,FRT PAPAYA 1KG,2,393.08,2025-03-07
61518,HIGHLAND SET YOGHURT 90G,5,403.15,2025-03-07
61519,KELLOGGS HEART TO HEART OATS 200G,1,660.69,2025-03-07
61520,GILLETTE RAZOR,4,986.91,2025-03-07
61521,CLOGARD TOOTHBRUSH SMART PROMO,1,119.47,2025-03-07
61522,VEG CARROT 1KG,1,318.98,2025-03-07
61523,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,3,1661.16,2025-03-07
61524,EDINBOROUGH CORDIAL 750ML,2,903.12,2025-03-07
61525,PRIMA INSTANT NOODLES CHICKEN,2,243.42,2025-03-07
61526,FRESH WHOLE CHICKEN SL 1KG,2,2800.99,2025-03-07
61527,VEG RED ONIONS 1KG,2,760.3,2025-03-07
61528,MILO POWDER 400G,5,4985.5,2025-03-07
61529,ENERGIZER BATTERY AA 2S,3,907.96,2025-03-07
61530,MUNCHEE CHOCOLATE MARIE 90G,1,91.48,2025-03-07
61531,VEG LIME 1KG,1,507.12,2025-03-07
61532,VEG ASH PLANTAINS 1KG,1,152.49,2025-03-07
61533,AQUAFINA BOTTLED WATER 5L,5,1271.11,2025-03-07
61534,SIRILAK FENUGREEK 100G,3,448.78,2025-03-07
61535,VEG CABBAGE 1KG,3,534.79,2025-03-07
61536,FRT BANANA (AMBUL) 1KG,1,247.38,2025-03-07
61537,TESS CANNED MACKEREL 425G,5,3499.42,2025-03-07
61538,KEELLS CHICKEN SAUSAGES 500G,1,957.9,2025-03-07
61539,BROWN SUGAR 1KG,3,1363.92,2025-03-07
61540,TESS CANNED MACKEREL 425G,1,704.42,2025-03-07
61541,MUNCHEE SUPER CREAM CRACKER 120G,1,110.03,2025-03-07
61542,SIRILAK FENUGREEK 100G,1,151.75,2025-03-07
61543,COCA-COLA 1.5L,2,603.74,2025-03-07
61544,SIRILAK CHILLI POWDER 100G,4,1133.93,2025-03-07
61545,COCONUT,5,650.72,2025-03-07
61546,FRT PINEAPPLE,4,1609.9,2025-03-07
61547,SIRILAK FENUGREEK 100G,5,756.31,2025-03-07
61548,KIST PEANUT BUTTER 340G,3,2407.85,2025-03-07
61549,VEG CARROT 1KG,1,323.74,2025-03-07
61550,LIFEBUOY SOAP TOTAL 10 100G,5,447.04,2025-03-07
61551,ENERGIZER BATTERY AA 2S,2,611.75,2025-03-07
61552,CINNAMON STICKS 50G,3,1200.45,2025-03-07
61553,BAKEWELL WHITE BREAD 450G,4,717.22,2025-03-07
61554,PAMPERS DIAPERS L 44S,1,4588.46,2025-03-07
61555,BAKEWELL WHITE BREAD 450G,5,888.78,2025-03-07
61556,TESS CANNED MACKEREL 425G,1,688.75,2025-03-07
61557,ANCHOR BUTTER 227G,2,2447.11,2025-03-07
61558,PAMPERS DIAPERS L 44S,4,18055.02,2025-03-07
61559,HARISCHANDRA COFFEE 200G,1,902.75,2025-03-07
61560,RICH LIFE SET KIRI DAIRY DESSERT 450G,1,295.55,2025-03-07
61561,MAGGI COCONUT MILK POWDER 1KG,2,3007.33,2025-03-07
61562,CINNAMON STICKS 50G,4,1598.61,2025-03-07
61563,VEG POTATOES 1KG,1,374.29,2025-03-07
61564,COCONUT MILK POWDER 400G,3,1830.17,2025-03-07
61565,VEG POTATOES 1KG,1,382.02,2025-03-07
61566,DILMAH PREMIUM LEAF TEA 200G,1,798.96,2025-03-07
61567,LION SODA 1L,1,150.37,2025-03-07
61568,PAMPERS DIAPERS L 44S,2,8845.58,2025-03-07
61569,icecream,1,754.38,2025-03-07
61570,CLOGARD TOOTHBRUSH SMART PROMO,5,588.35,2025-03-07
61571,VEG PUMPKIN 1KG,2,241.29,2025-03-07
61572,VEG CUCUMBER 1KG,2,301.47,2025-03-07
61573,VEG GARLIC 1KG,3,3534.18,2025-03-07
61574,BROWN SUGAR 1KG,3,1350.97,2025-03-07
61575,BROWN SUGAR 1KG,3,1368.94,2025-03-07
61576,FLORA TOILET PAPER ROLL 2PLY,2,203.25,2025-03-07
61577,FT AVOCADO 1KG,2,1222.33,2025-03-07
61578,LAKMEE SOY CUTTLEFISH 60G,3,546.18,2025-03-07
61579,COCONUT MILK POWDER 400G,3,1770.92,2025-03-07
61580,PAMPERS DIAPERS L 44S,5,22751.97,2025-03-07
61581,FRT PAPAYA 1KG,3,608.77,2025-03-07
61582,PRIMA INSTANT NOODLES CHICKEN,2,241.49,2025-03-07
61583,SIRILAK POP CORN,1,152.22,2025-03-07
61584,UBC SAVOURY MURUKKU 100G,3,384.32,2025-03-07
61585,MEADOWLEA FAT SPREAD 500G,2,2226.12,2025-03-07
61586,SUNQUICK FRUIT JUICE 840ML,3,2273.41,2025-03-07
61587,SUNQUICK FRUIT JUICE 840ML,4,2987.91,2025-03-07
61588,MALIBAN GOLD MARIE 200G,1,199.37,2025-03-07
61589,VEG BIG ONIONS 1KG,2,709.83,2025-03-07
61590,VEG GREEN BEANS 1KG,3,906.28,2025-03-07
