ds,product,units,amount
2024-05-20,Fresh Milk 1L,59,23370.95
2024-05-20,Ice Cream 1L,57,42604.14
2024-05-20,Mango Jam 500G,60,38383.46
2024-05-20,Milo Powder 400G,48,48861.83
2024-05-20,Pineapple Whole,48,19067.9
2024-05-20,Plain Bread 450G,44,7905.78
2024-05-20,Plain Flour 1KG,53,20309.18
2024-05-20,Salt 1KG,48,4768.23
2024-05-20,Toilet Paper 2PLY,61,6118.43
2024-05-20,Tomatoes 1KG,60,24403.62
2024-05-20,White Rice 1KG,48,10685.19
2024-05-20,White Sugar 1KG,60,20945.63
2024-05-21,Bottled Water 5L,51,12528.29
2024-05-21,Butter 227G,53,64224.32
2024-05-21,Chocolate Wafers 85G,51,5117.24
2024-05-21,Coca-Cola 1.5L,51,15016.32
2024-05-21,Coconut,44,5800.03
2024-05-21,Coconut Oil 750ML,56,47135.54
2024-05-21,Coconut Sweets,54,10754.17
2024-05-21,Fresh Chicken 1KG,59,82708.33
2024-05-21,Fresh Milk 1L,54,21553.33
2024-05-21,Ice Cream 1L,44,33234.54
2024-05-21,Mango Jam 500G,53,34402.22
2024-05-21,Milo Powder 400G,56,57077.96
2024-05-21,Pineapple Whole,52,21121.47
2024-05-21,Plain Bread 450G,52,9421.55
2024-05-21,Plain Flour 1KG,43,16145.8
2024-05-21,Salt 1KG,50,4908.93
2024-05-21,Toilet Paper 2PLY,62,6185.75
2024-05-21,Tomatoes 1KG,59,23561.75
2024-05-21,White Rice 1KG,59,13188.26
2024-05-21,White Sugar 1KG,43,14940.94
2024-05-22,Bottled Water 5L,62,15555.18
2024-05-22,Butter 227G,56,68452.97
2024-05-22,Chocolate Wafers 85G,43,4303.08
2024-05-22,Coca-Cola 1.5L,47,14162.17
2024-05-22,Coconut,42,5525.62
2024-05-22,Coconut Oil 750ML,61,52690.39
2024-05-22,Coconut Sweets,46,9150.71
2024-05-22,Fresh Chicken 1KG,58,82339.84
2024-05-22,Fresh Milk 1L,47,18677.44
2024-05-22,Ice Cream 1L,49,37157.82
2024-05-22,Mango Jam 500G,50,33086.21
2024-05-22,Milo Powder 400G,38,37424.17
2024-05-22,Pineapple Whole,58,23362.12
2024-05-22,Plain Bread 450G,48,8759.99
2024-05-22,Plain Flour 1KG,63,23508.67
2024-05-22,Salt 1KG,52,5296.41
2024-05-22,Toilet Paper 2PLY,47,4719.22
2024-05-22,Tomatoes 1KG,54,21611.23
2024-05-22,White Rice 1KG,46,10133.11
2024-05-22,White Sugar 1KG,45,15805.86
2024-05-23,Bottled Water 5L,45,11089.49
2024-05-23,Butter 227G,39,46535.01
2024-05-23,Chocolate Wafers 85G,41,4159.94
2024-05-23,Coca-Cola 1.5L,44,13388.61
2024-05-23,Coconut,62,8019.93
2024-05-23,Coconut Oil 750ML,60,50002.3
2024-05-23,Coconut Sweets,67,13402.04
2024-05-23,Fresh Milk 1L,54,21328.12
2024-05-23,Ice Cream 1L,83,62313.93
2024-05-23,Mango Jam 500G,47,30502.3
2024-05-23,Milo Powder 400G,46,45401.3
2024-05-23,Pineapple Whole,64,25452.12
2024-05-23,Plain Bread 450G,47,8603.27
2024-05-23,Plain Flour 1KG,48,18031.32
2024-05-23,Salt 1KG,62,6264.04
2024-05-23,Toilet Paper 2PLY,56,5650.06
2024-05-23,Tomatoes 1KG,63,24958.1
2024-05-23,White Rice 1KG,46,9965.2
2024-05-23,White Sugar 1KG,44,15317.48
2024-05-24,Bottled Water 5L,46,11573.86
2024-05-24,Butter 227G,46,55412.07
2024-05-24,Chocolate Wafers 85G,48,4792.55
2024-05-24,Coca-Cola 1.5L,47,14243.6
2024-05-24,Coconut,56,7227.97
2024-05-24,Coconut Oil 750ML,63,53323.47
2024-05-24,Coconut Sweets,67,13187.83
2024-05-24,Fresh Milk 1L,49,19798.87
2024-05-24,Ice Cream 1L,81,60580.81
2024-05-24,Mango Jam 500G,48,31080.04
2024-05-24,Milo Powder 400G,46,45134.21
2024-05-24,Pineapple Whole,64,25776.98
2024-05-24,Plain Bread 450G,55,9925.44
2024-05-24,Plain Flour 1KG,61,23155.73
2024-05-24,Salt 1KG,42,4162.72
2024-05-24,Toilet Paper 2PLY,44,4328.89
2024-05-24,Tomatoes 1KG,59,23760.9
2024-05-24,White Rice 1KG,60,13172.55
2024-05-24,White Sugar 1KG,55,18989.88
2024-05-25,Bottled Water 5L,69,17451.34
2024-05-25,Butter 227G,56,66629.08
2024-05-25,Chocolate Wafers 85G,51,5032.68
2024-05-25,Coca-Cola 1.5L,51,15365.12
2024-05-25,Coconut,57,7487.83
2024-05-25,Coconut Oil 750ML,78,66879.11
2024-05-25,Coconut Sweets,70,13794.02
2024-05-25,Fresh Chicken 1KG,72,99423.59
2024-05-25,Fresh Milk 1L,57,22898.4
2024-05-25,Ice Cream 1L,63,46686.23
2024-05-25,Mango Jam 500G,65,42721.47
2024-05-25,Milo Powder 400G,53,53441.39
2024-05-25,Pineapple Whole,59,23527.02
2024-05-25,Plain Bread 450G,68,12087.68
2024-05-25,Plain Flour 1KG,59,22823.69
2024-05-25,Salt 1KG,64,6501.38
2024-05-25,Toilet Paper 2PLY,81,8077.04
2024-05-25,Tomatoes 1KG,65,25909.66
2024-05-25,White Rice 1KG,65,14508.12
2024-05-25,White Sugar 1KG,71,25064.44
2024-05-26,Bottled Water 5L,64,15969.49
2024-05-26,Butter 227G,55,66397.73
2024-05-26,Chocolate Wafers 85G,71,7177.37
2024-05-26,Coca-Cola 1.5L,71,21709.88
2024-05-26,Coconut,55,7198.52
2024-05-26,Coconut Oil 750ML,67,55949.09
2024-05-26,Coconut Sweets,77,15313.35
2024-05-26,Fresh Chicken 1KG,67,93236.88
2024-05-26,Fresh Milk 1L,76,30670.3
2024-05-26,Ice Cream 1L,68,50802.3
2024-05-26,Mango Jam 500G,56,36558.96
2024-05-26,Milo Powder 400G,57,56405.04
2024-05-26,Pineapple Whole,56,22301.02
2024-05-26,Plain Bread 450G,63,11565.64
2024-05-26,Plain Flour 1KG,67,25308.01
2024-05-26,Salt 1KG,63,6358.92
2024-05-26,Toilet Paper 2PLY,58,5823.0
2024-05-26,Tomatoes 1KG,62,25023.58
2024-05-26,White Rice 1KG,77,16957.76
2024-05-26,White Sugar 1KG,78,27809.86
2024-05-27,Bottled Water 5L,55,13663.66
2024-05-27,Butter 227G,55,65749.2
2024-05-27,Chocolate Wafers 85G,39,3872.93
2024-05-27,Coca-Cola 1.5L,40,12049.94
2024-05-27,Coconut,48,6225.22
2024-05-27,Coconut Oil 750ML,55,46719.6
2024-05-27,Coconut Sweets,63,12587.0
2024-05-27,Fresh Chicken 1KG,47,64545.13
2024-05-27,Fresh Milk 1L,56,22530.04
2024-05-27,Ice Cream 1L,50,37610.61
2024-05-27,Mango Jam 500G,50,32737.5
2024-05-27,Milo Powder 400G,54,53712.43
2024-05-27,Pineapple Whole,61,23921.54
2024-05-27,Plain Bread 450G,39,7046.22
2024-05-27,Plain Flour 1KG,55,20895.28
2024-05-27,Salt 1KG,59,5937.33
2024-05-27,Toilet Paper 2PLY,50,5064.62
2024-05-27,Tomatoes 1KG,52,20523.53
2024-05-27,White Rice 1KG,46,10261.15
2024-05-27,White Sugar 1KG,54,18551.42
2024-05-28,Bottled Water 5L,42,10481.85
2024-05-28,Butter 227G,38,45355.88
2024-05-28,Chocolate Wafers 85G,46,4618.93
2024-05-28,Coca-Cola 1.5L,41,12183.7
2024-05-28,Coconut,49,6446.18
2024-05-28,Coconut Oil 750ML,59,49337.59
2024-05-28,Coconut Sweets,59,11884.46
2024-05-28,Fresh Chicken 1KG,48,67015.5
2024-05-28,Fresh Milk 1L,58,23198.0
2024-05-28,Ice Cream 1L,46,34771.76
2024-05-28,Mango Jam 500G,63,41704.45
2024-05-28,Milo Powder 400G,41,41087.68
2024-05-28,Pineapple Whole,56,22095.76
2024-05-28,Plain Bread 450G,42,7591.95
2024-05-28,Plain Flour 1KG,49,18514.39
2024-05-28,Salt 1KG,50,4914.75
2024-05-28,Toilet Paper 2PLY,43,4315.88
2024-05-28,Tomatoes 1KG,57,22873.25
2024-05-28,White Rice 1KG,62,13525.2
2024-05-28,White Sugar 1KG,48,17003.4
2024-05-29,Bottled Water 5L,61,15275.33
2024-05-29,Butter 227G,39,46870.62
2024-05-29,Chocolate Wafers 85G,45,4501.56
2024-05-29,Coca-Cola 1.5L,45,13477.19
2024-05-29,Coconut,57,7532.5
2024-05-29,Coconut Oil 750ML,63,53955.71
2024-05-29,Coconut Sweets,43,8710.63
2024-05-29,Fresh Chicken 1KG,61,85582.5
2024-05-29,Fresh Milk 1L,59,23406.11
2024-05-29,Ice Cream 1L,51,38051.78
2024-05-29,Mango Jam 500G,52,34289.42
2024-05-29,Milo Powder 400G,53,52484.53
2024-05-29,Pineapple Whole,43,17033.68
2024-05-29,Plain Bread 450G,56,10126.15
2024-05-29,Plain Flour 1KG,56,21561.03
2024-05-29,Salt 1KG,52,5192.91
2024-05-29,Toilet Paper 2PLY,52,5118.1
2024-05-29,Tomatoes 1KG,43,16862.15
2024-05-29,White Rice 1KG,48,10742.29
2024-05-29,White Sugar 1KG,56,19880.55
2024-05-30,Bottled Water 5L,56,14186.12
2024-05-30,Butter 227G,44,51918.23
2024-05-30,Chocolate Wafers 85G,43,4352.91
2024-05-30,Coca-Cola 1.5L,41,12253.1
2024-05-30,Coconut,52,6845.42
2024-05-30,Coconut Oil 750ML,58,48876.93
2024-05-30,Coconut Sweets,48,9730.0
2024-05-30,Fresh Chicken 1KG,59,81574.26
2024-05-30,Fresh Milk 1L,60,24316.21
2024-05-30,Ice Cream 1L,58,44030.71
2024-05-30,Mango Jam 500G,43,27505.21
2024-05-30,Milo Powder 400G,51,51383.07
2024-05-30,Pineapple Whole,60,23642.71
2024-05-30,Plain Bread 450G,46,8432.07
2024-05-30,Plain Flour 1KG,60,22585.79
2024-05-30,Salt 1KG,55,5460.08
2024-05-30,Toilet Paper 2PLY,51,5166.89
2024-05-30,Tomatoes 1KG,53,21034.42
2024-05-30,White Rice 1KG,56,12126.89
2024-05-30,White Sugar 1KG,43,14758.74
2024-05-31,Bottled Water 5L,57,14531.7
2024-05-31,Butter 227G,53,64797.35
2024-05-31,Chocolate Wafers 85G,40,4066.91
2024-05-31,Coca-Cola 1.5L,43,12807.71
2024-05-31,Coconut,57,7505.44
2024-05-31,Coconut Oil 750ML,58,48781.54
2024-05-31,Coconut Sweets,61,12207.82
2024-05-31,Fresh Chicken 1KG,50,69656.72
2024-05-31,Fresh Milk 1L,50,20244.11
2024-05-31,Ice Cream 1L,48,35765.39
2024-05-31,Mango Jam 500G,54,35419.28
2024-05-31,Milo Powder 400G,54,54603.2
2024-05-31,Pineapple Whole,61,24820.25
2024-05-31,Plain Bread 450G,47,8321.34
2024-05-31,Plain Flour 1KG,57,22048.15
2024-05-31,Salt 1KG,56,5661.78
2024-05-31,Toilet Paper 2PLY,45,4496.84
2024-05-31,Tomatoes 1KG,52,20870.46
2024-05-31,White Rice 1KG,44,9853.88
2024-05-31,White Sugar 1KG,58,20081.27
2024-06-01,Bottled Water 5L,65,16302.51
2024-06-01,Butter 227G,51,61836.97
2024-06-01,Chocolate Wafers 85G,63,6282.8
2024-06-01,Coca-Cola 1.5L,52,15421.21
2024-06-01,Coconut,55,7267.85
2024-06-01,Coconut Oil 750ML,59,50034.23
2024-06-01,Coconut Sweets,59,11861.23
2024-06-01,Fresh Chicken 1KG,65,91015.46
2024-06-01,Fresh Milk 1L,63,24907.24
2024-06-01,Ice Cream 1L,67,50242.87
2024-06-01,Mango Jam 500G,60,39481.44
2024-06-01,Milo Powder 400G,68,68814.86
2024-06-01,Pineapple Whole,82,33273.02
2024-06-01,Plain Bread 450G,72,12802.16
2024-06-01,Plain Flour 1KG,76,29340.29
2024-06-01,Salt 1KG,60,5902.44
2024-06-01,Toilet Paper 2PLY,80,8131.42
2024-06-01,Tomatoes 1KG,71,27887.77
2024-06-01,White Rice 1KG,69,14960.59
2024-06-01,White Sugar 1KG,59,20369.88
2024-06-02,Bottled Water 5L,66,16315.02
2024-06-02,Butter 227G,53,64613.29
2024-06-02,Chocolate Wafers 85G,59,5808.98
2024-06-02,Coca-Cola 1.5L,57,17015.13
2024-06-02,Coconut,67,8876.89
2024-06-02,Coconut Oil 750ML,75,64166.48
2024-06-02,Coconut Sweets,66,13373.81
2024-06-02,Fresh Chicken 1KG,76,106403.33
2024-06-02,Fresh Milk 1L,73,29376.8
2024-06-02,Ice Cream 1L,79,59777.81
2024-06-02,Mango Jam 500G,70,45090.3
2024-06-02,Milo Powder 400G,57,56338.27
2024-06-02,Pineapple Whole,78,31323.31
2024-06-02,Plain Bread 450G,60,10669.57
2024-06-02,Plain Flour 1KG,67,25667.68
2024-06-02,Salt 1KG,58,5798.06
2024-06-02,Toilet Paper 2PLY,82,8249.46
2024-06-02,Tomatoes 1KG,64,25185.6
2024-06-02,White Rice 1KG,76,16567.23
2024-06-02,White Sugar 1KG,60,20889.02
2024-06-03,Bottled Water 5L,47,11927.76
2024-06-03,Butter 227G,52,62551.28
2024-06-03,Chocolate Wafers 85G,47,4692.82
2024-06-03,Coca-Cola 1.5L,49,14626.68
2024-06-03,Coconut,46,5992.39
2024-06-03,Coconut Oil 750ML,61,50927.35
2024-06-03,Coconut Sweets,48,9419.14
2024-06-03,Fresh Chicken 1KG,45,62102.38
2024-06-03,Fresh Milk 1L,57,22963.24
2024-06-03,Ice Cream 1L,54,39732.98
2024-06-03,Mango Jam 500G,58,37572.03
2024-06-03,Milo Powder 400G,44,43222.51
2024-06-03,Pineapple Whole,48,19335.45
2024-06-03,Plain Bread 450G,52,9323.05
2024-06-03,Plain Flour 1KG,60,22771.45
2024-06-03,Salt 1KG,49,4858.29
2024-06-03,Toilet Paper 2PLY,55,5461.11
2024-06-03,Tomatoes 1KG,51,20172.83
2024-06-03,White Rice 1KG,47,10437.78
2024-06-03,White Sugar 1KG,63,22015.55
2024-06-04,Bottled Water 5L,54,13262.73
2024-06-04,Butter 227G,45,53195.46
2024-06-04,Chocolate Wafers 85G,48,4814.95
2024-06-04,Coca-Cola 1.5L,48,14236.29
2024-06-04,Coconut,58,7466.93
2024-06-04,Coconut Oil 750ML,57,48141.43
2024-06-04,Coconut Sweets,58,11439.48
2024-06-04,Fresh Chicken 1KG,56,77393.33
2024-06-04,Fresh Milk 1L,62,25208.34
2024-06-04,Ice Cream 1L,43,32609.77
2024-06-04,Mango Jam 500G,50,32209.51
2024-06-04,Milo Powder 400G,44,44031.0
2024-06-04,Pineapple Whole,57,22569.6
2024-06-04,Plain Bread 450G,42,7566.15
2024-06-04,Plain Flour 1KG,53,19748.58
2024-06-04,Salt 1KG,60,5948.85
2024-06-04,Toilet Paper 2PLY,43,4237.39
2024-06-04,Tomatoes 1KG,54,21461.27
2024-06-04,White Rice 1KG,57,12493.41
2024-06-04,White Sugar 1KG,50,17302.87
2024-06-05,Bottled Water 5L,42,10373.68
2024-06-05,Butter 227G,42,51231.26
2024-06-05,Chocolate Wafers 85G,53,5403.82
2024-06-05,Coca-Cola 1.5L,45,13289.23
2024-06-05,Coconut,62,7998.94
2024-06-05,Coconut Oil 750ML,55,46760.19
2024-06-05,Coconut Sweets,53,10590.27
2024-06-05,Fresh Chicken 1KG,45,64080.23
2024-06-05,Fresh Milk 1L,57,23246.54
2024-06-05,Ice Cream 1L,60,44566.19
2024-06-05,Mango Jam 500G,58,37865.56
2024-06-05,Milo Powder 400G,56,56835.43
2024-06-05,Pineapple Whole,47,19168.49
2024-06-05,Plain Bread 450G,41,7347.5
2024-06-05,Plain Flour 1KG,62,23965.93
2024-06-05,Salt 1KG,52,5133.74
2024-06-05,Toilet Paper 2PLY,47,4689.01
2024-06-05,Tomatoes 1KG,61,24490.73
2024-06-05,White Rice 1KG,51,11251.51
2024-06-05,White Sugar 1KG,42,14729.34
2024-06-06,Bottled Water 5L,51,12707.8
2024-06-06,Butter 227G,56,66797.19
2024-06-06,Chocolate Wafers 85G,52,5186.26
2024-06-06,Coca-Cola 1.5L,43,12900.17
2024-06-06,Coconut,44,5691.11
2024-06-06,Coconut Oil 750ML,45,38202.41
2024-06-06,Coconut Sweets,57,11304.33
2024-06-06,Fresh Chicken 1KG,46,65422.85
2024-06-06,Fresh Milk 1L,61,24320.88
2024-06-06,Ice Cream 1L,57,42182.45
2024-06-06,Mango Jam 500G,51,33071.87
2024-06-06,Milo Powder 400G,44,43354.11
2024-06-06,Pineapple Whole,55,21918.43
2024-06-06,Plain Bread 450G,38,6969.05
2024-06-06,Plain Flour 1KG,47,17907.12
2024-06-06,Salt 1KG,44,4350.28
2024-06-06,Toilet Paper 2PLY,44,4486.08
2024-06-06,Tomatoes 1KG,54,21409.79
2024-06-06,White Rice 1KG,54,11824.78
2024-06-06,White Sugar 1KG,42,14524.98
2024-06-07,Bottled Water 5L,50,12672.07
2024-06-07,Butter 227G,42,49962.63
2024-06-07,Chocolate Wafers 85G,48,4872.13
2024-06-07,Coca-Cola 1.5L,52,15708.99
2024-06-07,Coconut,57,7453.35
2024-06-07,Coconut Oil 750ML,48,41169.86
2024-06-07,Coconut Sweets,63,12372.85
2024-06-07,Fresh Chicken 1KG,49,68078.41
2024-06-07,Fresh Milk 1L,59,23210.05
2024-06-07,Ice Cream 1L,54,41277.64
2024-06-07,Mango Jam 500G,50,32375.7
2024-06-07,Milo Powder 400G,54,53257.78
2024-06-07,Pineapple Whole,59,23586.76
2024-06-07,Plain Bread 450G,51,9103.09
2024-06-07,Plain Flour 1KG,54,20808.18
2024-06-07,Salt 1KG,59,6001.78
2024-06-07,Toilet Paper 2PLY,57,5693.28
2024-06-07,Tomatoes 1KG,44,17505.31
2024-06-07,White Rice 1KG,57,12418.5
2024-06-07,White Sugar 1KG,59,20339.92
2024-06-08,Bottled Water 5L,58,14294.42
2024-06-08,Butter 227G,52,62260.04
2024-06-08,Chocolate Wafers 85G,54,5352.88
2024-06-08,Coca-Cola 1.5L,67,20164.92
2024-06-08,Coconut,70,9200.92
2024-06-08,Coconut Oil 750ML,73,60904.52
2024-06-08,Coconut Sweets,74,14734.39
2024-06-08,Fresh Chicken 1KG,61,86852.18
2024-06-08,Fresh Milk 1L,57,22877.33
2024-06-08,Ice Cream 1L,72,54795.45
2024-06-08,Mango Jam 500G,81,53626.62
2024-06-08,Milo Powder 400G,52,51548.61
2024-06-08,Pineapple Whole,77,30961.54
2024-06-08,Plain Bread 450G,57,10273.24
2024-06-08,Plain Flour 1KG,79,29991.2
2024-06-08,Salt 1KG,55,5564.11
2024-06-08,Toilet Paper 2PLY,64,6499.41
2024-06-08,Tomatoes 1KG,64,25289.75
2024-06-08,White Rice 1KG,58,12730.23
2024-06-08,White Sugar 1KG,57,19682.83
2024-06-09,Bottled Water 5L,59,14675.33
2024-06-09,Butter 227G,55,66485.42
2024-06-09,Chocolate Wafers 85G,53,5221.03
2024-06-09,Coca-Cola 1.5L,55,16444.33
2024-06-09,Coconut,74,9452.85
2024-06-09,Coconut Oil 750ML,62,52263.26
2024-06-09,Coconut Sweets,60,12074.47
2024-06-09,Fresh Chicken 1KG,76,106297.52
2024-06-09,Fresh Milk 1L,61,24750.12
2024-06-09,Ice Cream 1L,61,44975.83
2024-06-09,Mango Jam 500G,81,53581.94
2024-06-09,Milo Powder 400G,57,56729.4
2024-06-09,Pineapple Whole,77,30764.47
2024-06-09,Plain Bread 450G,58,10562.39
2024-06-09,Plain Flour 1KG,74,28247.5
2024-06-09,Salt 1KG,75,7565.1
2024-06-09,Toilet Paper 2PLY,72,7303.58
2024-06-09,Tomatoes 1KG,74,30143.82
2024-06-09,White Rice 1KG,77,17261.36
2024-06-09,White Sugar 1KG,57,20038.36
2024-06-10,Bottled Water 5L,56,13965.02
2024-06-10,Butter 227G,52,61960.19
2024-06-10,Chocolate Wafers 85G,48,4748.36
2024-06-10,Coca-Cola 1.5L,44,13421.66
2024-06-10,Coconut,56,7387.55
2024-06-10,Coconut Oil 750ML,54,45885.54
2024-06-10,Coconut Sweets,53,10775.07
2024-06-10,Fresh Chicken 1KG,48,68300.52
2024-06-10,Fresh Milk 1L,61,24167.83
2024-06-10,Ice Cream 1L,58,44368.2
2024-06-10,Mango Jam 500G,54,34560.62
2024-06-10,Milo Powder 400G,49,49186.94
2024-06-10,Pineapple Whole,42,16977.07
2024-06-10,Plain Bread 450G,38,6806.41
2024-06-10,Plain Flour 1KG,53,20529.72
2024-06-10,Salt 1KG,43,4273.44
2024-06-10,Toilet Paper 2PLY,61,6018.8
2024-06-10,Tomatoes 1KG,55,21712.47
2024-06-10,White Rice 1KG,51,11187.32
2024-06-10,White Sugar 1KG,61,20956.49
2024-06-11,Bottled Water 5L,51,12765.39
2024-06-11,Butter 227G,41,50066.4
2024-06-11,Chocolate Wafers 85G,51,5147.66
2024-06-11,Coca-Cola 1.5L,40,11882.17
2024-06-11,Coconut,43,5671.09
2024-06-11,Coconut Oil 750ML,59,49450.24
2024-06-11,Coconut Sweets,55,10988.41
2024-06-11,Fresh Chicken 1KG,51,72181.82
2024-06-11,Fresh Milk 1L,55,21929.73
2024-06-11,Ice Cream 1L,42,31587.43
2024-06-11,Mango Jam 500G,49,31439.56
2024-06-11,Milo Powder 400G,53,52820.8
2024-06-11,Pineapple Whole,46,18245.88
2024-06-11,Plain Bread 450G,44,7938.86
2024-06-11,Plain Flour 1KG,54,20872.93
2024-06-11,Salt 1KG,58,5877.19
2024-06-11,Toilet Paper 2PLY,51,5112.4
2024-06-11,Tomatoes 1KG,45,17846.41
2024-06-11,White Rice 1KG,47,10274.7
2024-06-11,White Sugar 1KG,58,20313.97
2024-06-12,Bottled Water 5L,61,15201.6
2024-06-12,Butter 227G,51,61560.08
2024-06-12,Chocolate Wafers 85G,50,5022.19
2024-06-12,Coca-Cola 1.5L,55,16760.28
2024-06-12,Coconut,62,7900.26
2024-06-12,Coconut Oil 750ML,45,38361.24
2024-06-12,Coconut Sweets,59,11959.15
2024-06-12,Fresh Chicken 1KG,46,64567.82
2024-06-12,Fresh Milk 1L,54,21272.62
2024-06-12,Ice Cream 1L,46,34401.56
2024-06-12,Mango Jam 500G,53,33973.77
2024-06-12,Milo Powder 400G,40,39786.74
2024-06-12,Pineapple Whole,53,21382.28
2024-06-12,Plain Bread 450G,38,6788.84
2024-06-12,Plain Flour 1KG,44,17038.49
2024-06-12,Salt 1KG,55,5505.77
2024-06-12,Toilet Paper 2PLY,52,5149.88
2024-06-12,Tomatoes 1KG,53,21319.94
2024-06-12,White Rice 1KG,50,11181.17
2024-06-12,White Sugar 1KG,63,21620.22
2024-06-13,Bottled Water 5L,53,13330.42
2024-06-13,Butter 227G,52,62542.97
2024-06-13,Chocolate Wafers 85G,54,5404.36
2024-06-13,Coca-Cola 1.5L,46,13910.69
2024-06-13,Coconut,43,5555.33
2024-06-13,Coconut Oil 750ML,58,48855.21
2024-06-13,Coconut Sweets,43,8614.65
2024-06-13,Fresh Chicken 1KG,43,59744.99
2024-06-13,Fresh Milk 1L,44,17772.07
2024-06-13,Ice Cream 1L,59,44914.13
2024-06-13,Mango Jam 500G,63,40815.12
2024-06-13,Milo Powder 400G,55,54414.87
2024-06-13,Pineapple Whole,50,20175.59
2024-06-13,Plain Bread 450G,49,8772.91
2024-06-13,Plain Flour 1KG,46,17215.2
2024-06-13,Salt 1KG,44,4417.89
2024-06-13,Toilet Paper 2PLY,57,5637.47
2024-06-13,Tomatoes 1KG,58,22986.88
2024-06-13,White Rice 1KG,48,10487.37
2024-06-13,White Sugar 1KG,44,15400.65
2024-06-14,Bottled Water 5L,45,11376.49
2024-06-14,Butter 227G,56,65895.52
2024-06-14,Chocolate Wafers 85G,56,5589.74
2024-06-14,Coca-Cola 1.5L,50,14965.76
2024-06-14,Coconut,44,5808.98
2024-06-14,Coconut Oil 750ML,50,42246.41
2024-06-14,Coconut Sweets,52,10218.63
2024-06-14,Fresh Chicken 1KG,59,81806.54
2024-06-14,Fresh Milk 1L,63,25390.94
2024-06-14,Ice Cream 1L,43,32512.32
2024-06-14,Mango Jam 500G,50,32298.97
2024-06-14,Milo Powder 400G,39,39353.28
2024-06-14,Pineapple Whole,47,19094.64
2024-06-14,Plain Bread 450G,52,9241.22
2024-06-14,Plain Flour 1KG,45,17418.72
2024-06-14,Salt 1KG,56,5617.81
2024-06-14,Toilet Paper 2PLY,54,5392.78
2024-06-14,Tomatoes 1KG,63,24953.24
2024-06-14,White Rice 1KG,54,11948.04
2024-06-14,White Sugar 1KG,47,16716.85
2024-06-15,Bottled Water 5L,68,16661.83
2024-06-15,Butter 227G,49,58587.74
2024-06-15,Chocolate Wafers 85G,60,6107.79
2024-06-15,Coca-Cola 1.5L,58,17170.31
2024-06-15,Coconut,64,8435.64
2024-06-15,Coconut Oil 750ML,79,66608.15
2024-06-15,Coconut Sweets,58,11560.93
2024-06-15,Fresh Chicken 1KG,81,115109.23
2024-06-15,Fresh Milk 1L,83,33443.79
2024-06-15,Ice Cream 1L,62,46256.0
2024-06-15,Mango Jam 500G,70,45518.17
2024-06-15,Milo Powder 400G,50,49444.21
2024-06-15,Pineapple Whole,74,29289.13
2024-06-15,Plain Bread 450G,51,9328.15
2024-06-15,Plain Flour 1KG,64,23906.55
2024-06-15,Salt 1KG,79,7875.66
2024-06-15,Toilet Paper 2PLY,58,5792.38
2024-06-15,Tomatoes 1KG,63,24944.85
2024-06-15,White Rice 1KG,75,16427.06
2024-06-15,White Sugar 1KG,67,23070.9
2024-06-16,Bottled Water 5L,67,16953.31
2024-06-16,Butter 227G,55,66731.95
2024-06-16,Chocolate Wafers 85G,52,5235.81
2024-06-16,Coca-Cola 1.5L,60,17670.8
2024-06-16,Coconut,64,8369.09
2024-06-16,Coconut Oil 750ML,71,60211.5
2024-06-16,Coconut Sweets,64,12843.52
2024-06-16,Fresh Chicken 1KG,67,94324.5
2024-06-16,Fresh Milk 1L,75,29710.18
2024-06-16,Ice Cream 1L,55,41532.66
2024-06-16,Mango Jam 500G,72,46305.98
2024-06-16,Milo Powder 400G,69,69880.31
2024-06-16,Pineapple Whole,75,30074.32
2024-06-16,Plain Bread 450G,56,9923.75
2024-06-16,Plain Flour 1KG,82,31450.01
2024-06-16,Salt 1KG,64,6313.38
2024-06-16,Toilet Paper 2PLY,56,5624.26
2024-06-16,Tomatoes 1KG,58,22822.55
2024-06-16,White Rice 1KG,80,17924.07
2024-06-16,White Sugar 1KG,62,21475.69
2024-06-17,Bottled Water 5L,60,14769.99
2024-06-17,Butter 227G,53,62930.93
2024-06-17,Chocolate Wafers 85G,49,4829.38
2024-06-17,Coca-Cola 1.5L,49,14752.06
2024-06-17,Coconut,63,8276.05
2024-06-17,Coconut Oil 750ML,45,37690.54
2024-06-17,Coconut Sweets,46,9322.84
2024-06-17,Fresh Chicken 1KG,57,80049.66
2024-06-17,Fresh Milk 1L,52,20899.0
2024-06-17,Ice Cream 1L,48,35432.88
2024-06-17,Mango Jam 500G,45,29704.51
2024-06-17,Milo Powder 400G,39,39586.57
2024-06-17,Pineapple Whole,60,24439.85
2024-06-17,Plain Bread 450G,40,7340.17
2024-06-17,Plain Flour 1KG,43,16486.64
2024-06-17,Salt 1KG,59,5950.89
2024-06-17,Toilet Paper 2PLY,56,5673.18
2024-06-17,Tomatoes 1KG,49,19889.63
2024-06-17,White Rice 1KG,56,12089.08
2024-06-17,White Sugar 1KG,51,17691.32
2024-06-18,Bottled Water 5L,54,13441.68
2024-06-18,Butter 227G,44,52269.64
2024-06-18,Chocolate Wafers 85G,41,4181.32
2024-06-18,Coca-Cola 1.5L,52,15686.88
2024-06-18,Coconut,61,7880.84
2024-06-18,Coconut Oil 750ML,61,50971.69
2024-06-18,Coconut Sweets,52,10254.98
2024-06-18,Fresh Chicken 1KG,49,67701.4
